珈琲館ブレンド,ブレンド,H
アメリカン,アメリカン,A
炭火珈琲,スミビ,S
炭火アイスコーヒー,アイス,CS
完熟珈琲,カンジュク,KAN
陰干し珈琲,カゲボシ,K
マンデリンG-1,マンデリン,MD
カフェインレスコーヒー,カフェインレスコーヒー,デH
カフェインレスアイスコーヒー,カフェインレスアイス,デCC
キリマンジャロAA,キリマン,KM
エチオピアモカG-2,モカ,EM
期間限定,スペシャル,SP
ショコラーノ,ショコラーノ,シV
アイスショコラーノ,アイスショコラーノ,CシV
ウィンナーファンタジー,ウィンナー,V
アイスウィンナーファンタジー,アイスウィンナー,CV
カフェオレハーモニー,オーレ,AL
アイスカフェオレハーモニー,アイスオーレ,CAL
カフェインレスミルクコーヒー,カフェインレスオーレ,デAL
アイスカフェインレスミルクコーヒー,カフェインレスアイスオーレ,デCAL
抹茶カフェオレ,マッチャオーレ,MAL
アイス抹茶カフェオレ,アイスマッチャオーレ,CMAL
モカフロスティー,モカフロスティ,F
カフェグラッセ,グラッセ,G
抹茶フロスティ,マッチャフロスティ,MF
蜂蜜仕立てのレモネード,レモネード,レモネ
アイス蜂蜜仕立てのレモネード,アイスレモネード,Cレモネ
蜂蜜仕立てのレモンスカッシュ,レスカ,レスカ
喫茶店のメロンソーダ,メロンソーダ,メロン
喫茶店のメロンクリームソーダ,クリームソーダ,Fメロン
オレンジジュース,オレンジジュース,OJ
フルーツミックスジュース,ミックスジュース,MJ
ミルク,ミルク,M
アイスミルク,アイスミルク,CM
アイスティ,アイスティ,CST
アイスティレモン,アイスレモンティ,CLT
アイスティミルク,アイスミルクティー,CMT
ダージリン,ダージリン,ダージリン
アールグレイ,アールグレイ,アールグレイ
ローズヒップ,ローズヒップ,ローズ
ココア,ココア,CO
アイスココア,アイスココア,CCO
