protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT825_3_P63038	P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial	Representative isoform	32	74	22
PRT825_3_Q9R0H0	Q9R0H0	ACOX1_MOUSE	Peroxisomal acyl-coenzyme A oxidase 1	Representative isoform	26	34	3
PRT825_3_Q9DBF1	Q9DBF1	AL7A1_MOUSE	Alpha-aminoadipic semialdehyde dehydrogenase	Representative isoform	22	36	7
PRT825_3_P32020	P32020	NLTP_MOUSE	Non-specific lipid-transfer protein	Representative isoform	21	46	16
PRT825_3_P34914	P34914	HYES_MOUSE	Bifunctional epoxide hydrolase 2	Representative isoform	20	30	3
PRT825_3_P97807	P97807	FUMH_MOUSE	Fumarate hydratase, mitochondrial	Representative isoform	20	29	17
PRT825_3_Q9CPY7	Q9CPY7	AMPL_MOUSE	Cytosol aminopeptidase	Representative isoform	19	34	15
PRT825_3_P55264	P55264	ADK_MOUSE	Adenosine kinase	Representative isoform	18	28	5
PRT825_3_Q91VA0	Q91VA0	ACSM1_MOUSE	Acyl-coenzyme A synthetase ACSM1, mitochondrial	Representative isoform	17	26	2
PRT825_3_Q63880	Q63880	EST3A_MOUSE	Carboxylesterase 3A	Representative isoform	15	29	8
PRT825_3_Q91ZJ5	Q91ZJ5	UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase	Representative isoform	15	25	15
PRT825_3_P61922	P61922	GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial	Representative isoform	14	21	9
PRT825_3_O35423	O35423	SPYA_MOUSE	Serine--pyruvate aminotransferase, mitochondrial	Representative isoform	14	23	14
PRT825_3_O08601	O08601	MTP_MOUSE	Microsomal triglyceride transfer protein large subunit	Representative isoform	13	13	13
PRT825_3_Q9Z2I8	Q9Z2I8	SUCB2_MOUSE	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	Representative isoform	12	18	11
PRT825_3_Q91XE0	Q91XE0	GLYAT_MOUSE	Glycine N-acyltransferase	Representative isoform	10	14	10
PRT825_3_A3KMP2	A3KMP2	TTC38_MOUSE	Tetratricopeptide repeat protein 38	Representative isoform	9	11	7
PRT825_3_P99029	P99029	PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial	Representative isoform	9	12	0
PRT825_3_Q9CZN7	Q9CZN7	GLYM_MOUSE	Serine hydroxymethyltransferase, mitochondrial	Representative isoform	9	11	9
PRT825_3_Q9D2G2	Q9D2G2	ODO2_MOUSE	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	Representative isoform	9	10	9
PRT825_3_Q99P30	Q99P30	NUDT7_MOUSE	Peroxisomal coenzyme A diphosphatase NUDT7	Representative isoform	9	15	9
PRT825_3_Q8VCU1	Q8VCU1	EST3B_MOUSE	Carboxylesterase 3B	Representative isoform	9	20	2
PRT825_3_Q91WT9	Q91WT9	CBS_MOUSE	Cystathionine beta-synthase	Representative isoform	8	13	1
PRT825_3_Q61598	Q61598	GDIB_MOUSE	Rab GDP dissociation inhibitor beta	Representative isoform	8	10	3
PRT825_3_Q9QYG0	Q9QYG0	NDRG2_MOUSE	Protein NDRG2	Representative isoform	8	12	1
PRT825_3_O88587	O88587	COMT_MOUSE	Catechol O-methyltransferase	Representative isoform	8	8	4
PRT825_3_P61979	P61979	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K	Representative isoform	7	9	0
PRT825_3_Q60597	Q60597	ODO1_MOUSE	2-oxoglutarate dehydrogenase, mitochondrial	Representative isoform	7	7	0
PRT825_3_Q9CQV8	Q9CQV8	1433B_MOUSE	14-3-3 protein beta/alpha	Representative isoform	7	10	0
PRT825_3_Q71RI9	Q71RI9	KAT3_MOUSE	Kynurenine--oxoglutarate transaminase 3	Representative isoform	6	8	3
PRT825_3_Q9WTP6	Q9WTP6	KAD2_MOUSE	Adenylate kinase 2, mitochondrial	Representative isoform	6	9	4
PRT825_3_P68254	P68254	1433T_MOUSE	14-3-3 protein theta	Representative isoform	6	8	3
PRT825_3_O88569	O88569	ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1	Representative isoform	6	8	3
PRT825_3_Q8QZR3	Q8QZR3	EST2A_MOUSE	Pyrethroid hydrolase Ces2a	Representative isoform	6	8	4
PRT825_3_P11983	P11983	TCPA_MOUSE	T-complex protein 1 subunit alpha	Representative isoform	6	6	5
PRT825_3_Q8VEK3	Q8VEK3	HNRPU_MOUSE	Heterogeneous nuclear ribonucleoprotein U	Representative isoform	5	5	5
PRT825_3_P57776	P57776	EF1D_MOUSE	Elongation factor 1-delta	Representative isoform	5	7	0
PRT825_3_P10630	P10630	IF4A2_MOUSE	Eukaryotic initiation factor 4A-II	Representative isoform	5	7	0
PRT825_3_Q9D6Y7	Q9D6Y7	MSRA_MOUSE	Mitochondrial peptide methionine sulfoxide reductase	Representative isoform	5	8	1
PRT825_3_Q3UPL0	Q3UPL0	SC31A_MOUSE	Protein transport protein Sec31A	Representative isoform	5	5	0
PRT825_3_Q8BFR5	Q8BFR5	EFTU_MOUSE	Elongation factor Tu, mitochondrial	Representative isoform	5	6	2
PRT825_3_Q99KB8	Q99KB8	GLO2_MOUSE	Hydroxyacylglutathione hydrolase, mitochondrial	Representative isoform	5	6	0
PRT825_3_Q9Z2X1	Q9Z2X1	HNRPF_MOUSE	Heterogeneous nuclear ribonucleoprotein F	Representative isoform	4	6	0
PRT825_3_P50580	P50580	PA2G4_MOUSE	Proliferation-associated protein 2G4	Representative isoform	4	4	4
PRT825_3_P50171	P50171	DHB8_MOUSE	Estradiol 17-beta-dehydrogenase 8	Representative isoform	4	4	1
PRT825_3_Q8C5H8	Q8C5H8	NAKD2_MOUSE	NAD kinase 2, mitochondrial	Representative isoform	3	3	0
PRT825_3_O35969	O35969	GAMT_MOUSE	Guanidinoacetate N-methyltransferase	Representative isoform	3	4	3
